[1548613800] LOG ROTATION: DAILY
[1548613800] LOG VERSION: 2.0
[1548616931] SERVICE ALERT: esxi02;ESXi Hardware Check;WARNING;SOFT;2;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157E1D Chassis S/N: FCH2216V0Y6  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548617060] SERVICE NOTIFICATION: nagiosadmin;esxi02;ESXi Hardware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157E1D Chassis S/N: FCH2216V0Y6  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548617060] SERVICE ALERT: esxi02;ESXi Hardware Check;WARNING;HARD;3;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157E1D Chassis S/N: FCH2216V0Y6  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548617133] SERVICE ALERT: esxi03;ESXi Hardware Check;WARNING;SOFT;1;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 39  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ESB Chassis S/N: FCH2216V0TW  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548617262] SERVICE ALERT: esxi03;ESXi Hardware Check;WARNING;SOFT;2;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 39  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ESB Chassis S/N: FCH2216V0TW  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548617391] SERVICE NOTIFICATION: nagiosadmin;esxi03;ESXi Hardware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 39  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ESB Chassis S/N: FCH2216V0TW  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548617391] SERVICE ALERT: esxi03;ESXi Hardware Check;WARNING;HARD;3;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 39  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ESB Chassis S/N: FCH2216V0TW  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548618000] SERVICE NOTIFICATION: nagiosadmin;esxi03;ESXi Hardware Check;OK;notify-service-by-email;OK - Server: Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ESB Chassis S/N: FCH2216V0TW  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548618000] SERVICE ALERT: esxi03;ESXi Hardware Check;OK;HARD;1;OK - Server: Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ESB Chassis S/N: FCH2216V0TW  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548619119] Auto-save of retention data completed successfully.
[1548619209] SERVICE ALERT: esxi03;ESXi Hardware Check;WARNING;SOFT;1;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ESB Chassis S/N: FCH2216V0TW  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548619338] SERVICE ALERT: esxi03;ESXi Hardware Check;WARNING;SOFT;2;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ESB Chassis S/N: FCH2216V0TW  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548619466] SERVICE NOTIFICATION: nagiosadmin;esxi03;ESXi Hardware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ESB Chassis S/N: FCH2216V0TW  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548619466] SERVICE ALERT: esxi03;ESXi Hardware Check;WARNING;HARD;3;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ESB Chassis S/N: FCH2216V0TW  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548619533] SERVICE ALERT: esxi04;ESXi Hardware Check;WARNING;SOFT;1;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 39  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22137QKB Chassis S/N: FCH2216V0YZ  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548619662] SERVICE ALERT: esxi04;ESXi Hardware Check;OK;HARD;1;OK - Server: Cisco Systems Inc UCSC-C220-M4S s/n: FCH22137QKB Chassis S/N: FCH2216V0YZ  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548620214] SERVICE NOTIFICATION: nagiosadmin;esxi01;ESXi Hardware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 41  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157EQH Chassis S/N: FCH2216V0WN  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548620262] SERVICE ALERT: esxi04;ESXi Hardware Check;WARNING;SOFT;1;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22137QKB Chassis S/N: FCH2216V0YZ  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548620390] SERVICE ALERT: esxi04;ESXi Hardware Check;WARNING;SOFT;2;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22137QKB Chassis S/N: FCH2216V0YZ  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548620519] SERVICE NOTIFICATION: nagiosadmin;esxi04;ESXi Hardware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22137QKB Chassis S/N: FCH2216V0YZ  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548620519] SERVICE ALERT: esxi04;ESXi Hardware Check;WARNING;HARD;3;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22137QKB Chassis S/N: FCH2216V0YZ  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548620669] SERVICE NOTIFICATION: nagiosadmin;esxi02;ESXi Hardware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 41  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157E1D Chassis S/N: FCH2216V0Y6  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
